Food_Item,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Nutrient_Density_Score,Protein_Efficiency,Sugars_g,Sodium_mg,Saturated_Fat_g,Cholesterol_mg
"Infant Formula, Enfamil Pregestimil, Powder, Made With Water",67.0,1.81,6.76,3.62,0.0,"Formula, prepared from powder",other,10.81,40.36,48.63,2.7,0.03,6.6,31.0,2.13,0.0
"Infant Formula, Enfamil Pregestimil, Ready-To-Feed",67.0,1.81,6.76,3.62,0.0,"Formula, ready-to-feed",other,10.81,40.36,48.63,2.7,0.03,6.6,31.0,2.13,0.0
"Infant Formula, Enfamil Prosobee, Powder, Made With Baby Water",66.0,1.64,7.07,3.49,0.0,"Formula, prepared from powder",other,9.94,42.85,47.59,2.48,0.02,6.86,24.0,1.46,0.0
"Infant Formula, Enfamil Prosobee, Powder, Made With Bottled Water",66.0,1.64,7.07,3.49,0.0,"Formula, prepared from powder",other,9.94,42.85,47.59,2.48,0.02,6.86,25.0,1.46,0.0
"Infant Formula, Enfamil Prosobee, Powder, Made With Tap Water",66.0,1.64,7.07,3.49,0.0,"Formula, prepared from powder",other,9.94,42.85,47.59,2.48,0.02,6.86,27.0,1.46,0.0
"Infant Formula, Enfamil Prosobee, Ready-To-Feed",66.0,1.64,7.07,3.49,0.0,"Formula, ready-to-feed",other,9.94,42.85,47.59,2.48,0.02,6.86,24.0,1.46,0.0
"Infant Formula, Enfamil,",66.0,1.43,7.36,3.49,0.0,"Formula, prepared from powder",other,8.67,44.61,47.59,2.17,0.02,7.34,19.0,1.45,1.0
"Infant Formula, Gerber Good Start Gentle, Stage 1, Powder, Made With Baby Water",66.0,1.45,7.3,3.34,0.0,"Formula, prepared from powder",other,8.79,44.24,45.55,2.2,0.02,7.3,18.0,1.4,0.0
"Infant Formula, Gerber Good Start Gentle, Stage 1, Powder, Made With Bottled Water",66.0,1.45,7.3,3.34,0.0,"Formula, prepared from powder",other,8.79,44.24,45.55,2.2,0.02,7.3,19.0,1.4,0.0
"Infant Formula, Gerber Good Start Gentle, Stage 1, Powder, Made With Tap Water",66.0,1.45,7.3,3.34,0.0,"Formula, prepared from powder",other,8.79,44.24,45.55,2.2,0.02,7.3,21.0,1.4,0.0
"Infant Formula, Gerber Good Start Gentle, Stage 1, Ready-To-Feed",66.0,1.45,7.3,3.34,0.0,"Formula, ready-to-feed",other,8.79,44.24,45.55,2.2,0.02,7.3,18.0,1.4,0.0
"Infant Formula, Gerber Good Start Gentle, Stage 2",66.0,1.45,7.3,3.34,0.0,"Formula, prepared from powder",other,8.79,44.24,45.55,2.2,0.02,7.3,18.0,1.4,0.0
"Infant Formula, Gerber Good Start Soy, Stage 1, Powder, Made With Baby Water",64.0,1.6,7.12,3.28,0.0,"Formula, prepared from powder",other,10.0,44.5,46.12,2.5,0.02,5.69,26.0,1.41,1.0
"Infant Formula, Gerber Good Start Soy, Stage 1, Powder, Made With Bottled Water",64.0,1.6,7.12,3.28,0.0,"Formula, prepared from powder",other,10.0,44.5,46.12,2.5,0.02,5.69,27.0,1.41,1.0
"Infant Formula, Gerber Good Start Soy, Stage 1, Powder, Made With Tap Water",64.0,1.6,7.12,3.28,0.0,"Formula, prepared from powder",other,10.0,44.5,46.12,2.5,0.02,5.69,29.0,1.41,1.0
"Infant Formula, Gerber Good Start Soy, Stage 1, Ready-To-Feed",64.0,1.6,7.12,3.28,0.0,"Formula, ready-to-feed",other,10.0,44.5,46.12,2.5,0.02,5.69,26.0,1.41,1.0
"Infant Formula, Gerber,",65.0,1.49,7.26,3.33,0.0,"Formula, prepared from powder",other,9.17,44.68,46.11,2.29,0.02,6.9,20.0,1.4,0.0
"Infant Formula, Low Iron",66.0,1.43,6.9,3.6,0.0,"Formula, prepared from powder",other,8.67,41.82,49.09,2.17,0.02,6.58,15.0,1.53,2.0
"Infant Formula, Organic, Powder, Made With Water",66.0,1.38,7.12,3.56,0.0,"Formula, prepared from powder",other,8.36,43.15,48.55,2.09,0.02,7.12,17.0,1.34,1.0
"Infant Formula, Organic, Ready-To-Feed",66.0,1.38,7.12,3.56,0.0,"Formula, ready-to-feed",other,8.36,43.15,48.55,2.09,0.02,7.12,17.0,1.34,1.0
"Infant Formula, Premature, Powder, Made With Water",71.0,1.96,7.34,3.78,0.0,"Formula, prepared from powder",other,11.04,41.35,47.92,2.76,0.03,7.15,25.0,2.01,2.0
"Infant Formula, Premature, Ready-To-Feed",71.0,1.96,7.34,3.78,0.0,"Formula, ready-to-feed",other,11.04,41.35,47.92,2.76,0.03,7.15,25.0,2.01,2.0
"Infant Formula, Similac Advance, Powder, Made With Baby Water",66.0,1.37,6.87,3.62,0.0,"Formula, prepared from powder",other,8.3,41.64,49.36,2.08,0.02,6.87,16.0,1.24,2.0
"Infant Formula, Similac Advance, Powder, Made With Bottled Water",66.0,1.37,6.87,3.62,0.0,"Formula, prepared from powder",other,8.3,41.64,49.36,2.08,0.02,6.87,18.0,1.24,2.0
"Infant Formula, Similac Advance, Powder, Made With Tap Water",66.0,1.37,6.87,3.62,0.0,"Formula, prepared from powder",other,8.3,41.64,49.36,2.08,0.02,6.87,19.0,1.24,2.0
"Infant Formula, Similac Advance, Ready-To-Feed",66.0,1.37,6.87,3.62,0.0,"Formula, ready-to-feed",other,8.3,41.64,49.36,2.08,0.02,6.87,16.0,1.24,2.0
"Infant Formula, Similac Alimentum, Powder, Made With Water",67.0,1.8,6.77,3.63,0.0,"Formula, prepared from powder",other,10.75,40.42,48.76,2.69,0.03,4.4,29.0,1.84,1.0
"Infant Formula, Similac Alimentum, Ready-To-Feed",67.0,1.8,6.77,3.63,0.0,"Formula, ready-to-feed",other,10.75,40.42,48.76,2.69,0.03,4.4,29.0,1.84,1.0
"Infant Formula, Similac For Diarrhea",66.0,1.76,6.67,3.6,0.7,"Formula, ready-to-feed",other,10.67,40.42,49.09,3.73,0.03,6.66,29.0,1.48,0.0
"Infant Formula, Similac For Spit-Up, Powder, Made With Water",65.0,1.38,6.9,3.48,0.0,"Formula, prepared from powder",other,8.49,42.46,48.18,2.12,0.02,6.9,19.0,2.26,0.0
"Infant Formula, Similac For Spit-Up, Ready-To-Feed",65.0,1.38,6.9,3.48,0.0,"Formula, ready-to-feed",other,8.49,42.46,48.18,2.12,0.02,6.9,19.0,2.26,0.0
"Infant Formula, Similac Isomil Soy, Powder, Made With Baby Water",65.0,1.58,6.73,3.53,0.0,"Formula, prepared from powder",other,9.72,41.42,48.88,2.43,0.02,6.65,28.0,1.15,0.0
"Infant Formula, Similac Isomil Soy, Powder, Made With Bottled Water",65.0,1.58,6.73,3.53,0.0,"Formula, prepared from powder",other,9.72,41.42,48.88,2.43,0.02,6.65,30.0,1.15,0.0
"Infant Formula, Similac Isomil Soy, Powder, Made With Tap Water",65.0,1.58,6.73,3.53,0.0,"Formula, prepared from powder",other,9.72,41.42,48.88,2.43,0.02,6.65,32.0,1.15,0.0
"Infant Formula, Similac Isomil Soy, Ready-To-Feed",65.0,1.58,6.73,3.53,0.0,"Formula, ready-to-feed",other,9.72,41.42,48.88,2.43,0.02,6.65,28.0,1.15,0.0
"Infant Formula, Similac Sensitive, Powder, Made With Baby Water",65.0,1.4,6.99,3.53,0.0,"Formula, prepared from powder",other,8.62,43.02,48.88,2.15,0.02,6.99,20.0,2.3,2.0
"Infant Formula, Similac Sensitive, Powder, Made With Bottled Water",65.0,1.4,6.99,3.53,0.0,"Formula, prepared from powder",other,8.62,43.02,48.88,2.15,0.02,6.99,22.0,2.3,2.0
"Infant Formula, Similac Sensitive, Powder, Made With Tap Water",65.0,1.4,6.99,3.53,0.0,"Formula, prepared from powder",other,8.62,43.02,48.88,2.15,0.02,6.99,23.0,2.3,2.0
"Infant Formula, Similac Sensitive, Ready-To-Feed",65.0,1.4,6.99,3.53,0.0,"Formula, ready-to-feed",other,8.62,43.02,48.88,2.15,0.02,6.99,20.0,2.3,2.0
"Infant Formula, Similac,",65.0,1.37,6.9,3.6,0.0,"Formula, prepared from powder",other,8.43,42.46,49.85,2.11,0.02,6.9,17.0,1.5,2.0
"Infant Formula, Store Brand, Added Rice",65.0,1.49,7.17,3.36,0.0,"Formula, prepared from powder",other,9.17,44.12,46.52,2.29,0.02,7.08,23.0,1.81,0.0
"Infant Formula, Store Brand, Advantage Or Tender, Powder, Made With Baby Water",66.0,1.38,7.12,3.56,0.0,"Formula, prepared from powder",other,8.36,43.15,48.55,2.09,0.02,7.12,17.0,1.34,1.0
"Infant Formula, Store Brand, Advantage Or Tender, Powder, Made With Bottled Water",66.0,1.38,7.12,3.56,0.0,"Formula, prepared from powder",other,8.36,43.15,48.55,2.09,0.02,7.12,19.0,1.34,1.0
"Infant Formula, Store Brand, Advantage Or Tender, Powder, Made With Tap Water",66.0,1.38,7.12,3.56,0.0,"Formula, prepared from powder",other,8.36,43.15,48.55,2.09,0.02,7.12,20.0,1.34,1.0
"Infant Formula, Store Brand, Gentle Or Sensitivity",66.0,1.46,7.15,3.51,0.0,"Formula, prepared from powder",other,8.85,43.33,47.86,2.21,0.02,7.12,22.0,1.88,2.0
"Infant Formula, Store Brand, Soy",66.0,1.61,6.9,3.51,0.0,"Formula, prepared from powder",other,9.76,41.82,47.86,2.44,0.02,6.76,26.0,1.31,0.0
Italian Ice,128.0,0.4,32.6,0.0,0.0,"Gelatins, ices, sorbets",other,1.25,100.0,0.0,0.31,0.0,32.6,22.0,0.0,0.0
"Italian Ice, No Sugar Added",24.0,0.0,5.92,0.0,0.0,"Gelatins, ices, sorbets",other,0.0,98.67,0.0,0.0,0.0,1.52,10.0,0.0,0.0
Italian Sandwich On Wheat,308.0,16.42,17.53,18.92,2.0,Deli and cured meat sandwiches,other,21.32,22.77,55.29,5.98,0.05,2.29,1006.0,7.48,53.0
Italian Sandwich On White,309.0,15.7,18.9,18.78,0.8,Deli and cured meat sandwiches,other,20.32,24.47,54.7,5.34,0.05,2.34,1010.0,7.51,53.0
"Italian Sandwich Or Sub, Restaurant",313.0,16.23,16.42,20.05,0.7,Deli and cured meat sandwiches,other,20.74,20.98,57.65,5.41,0.05,2.11,1053.0,8.11,57.0
Italian Sausage,317.0,18.2,2.15,26.2,0.0,Sausages,other,22.97,2.71,74.38,5.74,0.06,1.46,766.0,9.15,80.0
Italian Sausage Sandwich On Wheat,293.0,15.18,21.38,16.32,2.4,Deli and cured meat sandwiches,other,20.72,29.19,50.13,6.0,0.05,3.12,621.0,5.4,44.0
Italian Sausage Sandwich On White,300.0,14.45,23.47,16.29,0.8,Frankfurter sandwiches,other,19.27,31.29,48.87,5.08,0.05,4.05,645.0,5.46,44.0
Jagerbomb,102.0,0.34,15.97,0.03,0.0,Liquor and cocktails,other,1.33,62.63,0.26,0.33,0.0,15.98,30.0,0.0,0.0
Jam,278.0,0.37,68.86,0.07,1.1,"Jams, syrups, toppings",other,0.53,99.08,0.23,0.53,0.0,48.5,32.0,0.01,0.0
"Jam Or Jelly,",261.0,0.18,67.12,0.03,1.0,"Jams, syrups, toppings",other,0.28,100.0,0.1,0.45,0.0,49.16,26.0,0.01,0.0
"Jam Or Jelly, Fruit Juice Sweetened",212.0,0.0,52.93,0.0,0.9,"Jams, syrups, toppings",other,0.0,99.87,0.0,0.42,0.0,42.0,0.0,0.0,0.0
"Jam Or Jelly, Reduced Sugar",151.0,0.0,37.6,0.1,1.5,"Jams, syrups, toppings",other,0.0,99.6,0.6,0.99,0.0,29.41,0.0,0.0,0.0
"Jam Or Jelly, Sugar Free",121.0,0.55,29.6,0.0,2.2,"Jams, syrups, toppings",other,1.82,97.85,0.0,2.27,0.0,3.39,3.0,0.0,0.0
Jambalaya With Meat And Rice,161.0,13.76,8.65,7.97,0.7,Rice mixed dishes,other,34.19,21.49,44.55,8.98,0.09,0.94,379.0,2.21,58.0
Jelly,266.0,0.15,69.95,0.02,1.0,"Jams, syrups, toppings",other,0.23,100.0,0.07,0.43,0.0,51.22,30.0,0.0,0.0
Kamikaze,187.0,0.06,6.93,0.07,0.1,Liquor and cocktails,other,0.13,14.82,0.34,0.09,0.0,5.63,5.0,0.01,0.0
"Kibby, Puerto Rican Style",168.0,8.76,17.99,7.2,3.1,Meat mixed dishes,other,20.86,42.83,38.57,7.06,0.05,0.8,558.0,2.67,24.0
Kidney,157.0,27.05,0.0,4.61,0.0,Liver and organ meats,other,68.92,0.0,26.43,10.0,0.17,0.0,400.0,1.43,710.0
Kidney Beans And Brown Rice,155.0,5.81,23.02,4.63,4.5,"Bean, pea, legume dishes",other,14.99,59.41,26.88,6.65,0.04,0.27,211.0,0.64,0.0
"Kidney Beans And Rice, From Fast Food / Restaurant",179.0,5.72,23.17,7.07,4.2,"Bean, pea, legume dishes",other,12.78,51.78,35.55,5.54,0.03,0.19,296.0,0.96,0.0
Kidney Beans And White Rice,158.0,5.9,23.91,4.29,4.3,"Bean, pea, legume dishes",other,14.94,60.53,24.44,6.46,0.04,0.2,229.0,0.59,0.0
Knish,345.0,10.51,31.92,19.73,1.1,Turnovers and other grain-based items,other,12.19,37.01,51.47,3.37,0.03,0.98,445.0,4.51,91.0
Knockwurst,307.0,11.1,3.2,27.7,0.0,Sausages,other,14.46,4.17,81.21,3.62,0.04,0.0,930.0,10.21,60.0
Kung Pao Beef,216.0,17.93,4.55,14.44,1.0,Stir-fry and soy-based sauce mixtures,other,33.2,8.43,60.17,8.76,0.08,1.43,175.0,3.15,46.0
Kung Pao Chicken,129.0,9.76,6.87,6.98,1.5,Stir-fry and soy-based sauce mixtures,other,30.26,21.3,48.7,8.73,0.08,3.03,402.0,1.35,26.0
Kung Pao Pork,219.0,16.89,4.55,14.76,1.0,Stir-fry and soy-based sauce mixtures,other,30.85,8.31,60.66,8.17,0.08,1.43,183.0,3.2,41.0
Kung Pao Shrimp,173.0,13.94,5.32,10.74,1.0,Stir-fry and soy-based sauce mixtures,other,32.23,12.3,55.87,8.64,0.08,1.43,210.0,1.69,107.0
Lamb Or Mutton And Noodles With Gravy,141.0,6.8,15.63,5.48,0.7,Meat mixed dishes,other,19.29,44.34,34.98,5.32,0.05,0.32,314.0,1.9,34.0
Lamb Or Mutton And Potatoes With Gravy,129.0,5.13,12.53,6.46,1.0,Meat mixed dishes,other,15.91,38.85,45.07,4.75,0.04,0.58,308.0,1.94,17.0
Lamb Or Mutton And Potatoes With Tomato-Based Sauce,126.0,5.26,12.48,6.22,1.5,Meat mixed dishes,other,16.7,39.62,44.43,5.37,0.04,1.63,301.0,1.81,16.0
Lamb Or Mutton Loaf,192.0,14.05,7.44,11.58,0.3,Meat mixed dishes,other,29.27,15.5,54.28,7.47,0.07,4.69,467.0,4.83,85.0
Lamb Or Mutton With Gravy,219.0,17.29,1.58,15.37,0.0,Meat mixed dishes,other,31.58,2.89,63.16,7.89,0.08,0.09,359.0,6.34,69.0
"Lamb Or Mutton, Rice, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Gravy",136.0,5.05,16.34,5.51,0.7,Meat mixed dishes,other,14.85,48.06,36.46,4.23,0.04,0.55,309.0,1.64,14.0
"Lamb Or Mutton, Rice, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Gravy",133.0,5.02,15.2,5.5,0.8,Meat mixed dishes,other,15.1,45.71,37.22,4.38,0.04,0.6,315.0,1.64,14.0
"Lamb Or Mutton, Rice, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Tomato-Based Sauce",130.0,5.13,15.15,5.31,1.1,Meat mixed dishes,other,15.78,46.62,36.76,4.79,0.04,1.47,316.0,1.54,13.0
"Lamb Shish Kabob With Vegetables, Excluding Potatoes",162.0,12.02,5.06,10.28,0.8,Meat mixed dishes,other,29.68,12.49,57.11,7.91,0.07,2.37,222.0,4.1,44.0
"Lamb, As To Cut",292.0,24.32,0.0,20.77,0.0,"Lamb, goat, game",other,33.32,0.0,64.02,8.33,0.08,0.0,379.0,8.76,96.0
"Lamb, Chop",264.0,27.36,0.0,16.27,0.0,"Lamb, goat, game",other,41.45,0.0,55.47,10.0,0.1,0.0,387.0,6.6,97.0
"Lamb, Ground",281.0,24.55,0.0,19.49,0.0,"Lamb, goat, game",other,34.95,0.0,62.42,8.74,0.09,0.0,388.0,8.06,96.0
Lard,902.0,0.0,0.0,100.0,0.0,Butter and animal fats,other,0.0,0.0,99.78,0.0,0.0,0.0,0.0,39.2,95.0
Layer Dip,146.0,5.41,6.67,11.33,2.1,"Dips, gravies, other sauces",other,14.82,18.27,69.84,5.14,0.04,1.71,538.0,5.1,23.0
Leeks,88.0,1.57,14.74,3.05,1.9,Onions,other,7.14,67.0,31.19,3.94,0.02,4.07,151.0,0.76,2.0
Lefse,218.0,4.37,36.39,6.34,2.0,Mashed potatoes and white potato mixtures,other,8.02,66.77,26.17,2.92,0.02,2.31,172.0,2.72,13.0
"Lemon Juice, 100%, As To Form",22.0,0.35,6.9,0.24,0.3,Mustard and other condiments,other,6.36,100.0,9.82,2.95,0.02,2.52,1.0,0.04,0.0
"Lemon Juice, 100%, Canned Or Bottled",17.0,0.45,5.62,0.07,0.7,Mustard and other condiments,other,10.59,100.0,3.71,6.76,0.03,1.53,24.0,0.03,0.0
"Lemon Juice, 100%, Freshly Squeezed",22.0,0.35,6.9,0.24,0.3,Mustard and other condiments,other,6.36,100.0,9.82,2.95,0.02,2.52,1.0,0.04,0.0
Lemon Pie Filling,354.0,4.71,68.92,6.93,0.4,"Jams, syrups, toppings",other,5.32,77.88,17.62,1.44,0.01,62.16,73.0,1.67,127.0
Lemon-Butter Sauce,671.0,0.8,0.74,74.0,0.0,"Dips, gravies, other sauces",other,0.48,0.44,99.25,0.12,0.0,0.77,472.0,41.04,212.0
Lentil Curry,111.0,3.68,12.33,5.65,3.4,"Bean, pea, legume dishes",other,13.26,44.43,45.81,6.38,0.03,3.21,383.0,1.29,0.0
Lentil Curry With Rice,118.0,3.28,18.6,3.5,2.2,"Bean, pea, legume dishes",other,11.12,63.05,26.69,4.64,0.03,1.95,328.0,0.8,0.0
"Lettuce, Wilted, With Bacon Dressing",84.0,2.77,3.44,6.31,1.0,Vegetable dishes,other,13.19,16.38,67.61,4.49,0.03,0.66,118.0,2.34,10.0
"Lime Juice, 100%, As To Form",25.0,0.42,8.42,0.07,0.4,Mustard and other condiments,other,6.72,100.0,2.52,3.28,0.02,1.69,2.0,0.01,0.0
"Lime Juice, 100%, Canned Or Bottled",21.0,0.25,6.69,0.23,0.4,Mustard and other condiments,other,4.76,100.0,9.86,3.1,0.01,1.37,16.0,0.03,0.0
"Lime Juice, 100%, Freshly Squeezed",25.0,0.42,8.42,0.07,0.4,Mustard and other condiments,other,6.72,100.0,2.52,3.28,0.02,1.69,2.0,0.01,0.0
Lime Souffle,328.0,8.82,39.83,15.02,0.8,Pudding,other,10.76,48.57,41.21,2.93,0.03,37.32,79.0,2.73,250.0
Liqueur,279.0,0.0,33.2,0.11,0.0,Liquor and cocktails,other,0.0,47.6,0.35,0.0,0.0,33.27,1.0,0.0,0.0
"Liqueur, Coffee Flavored",336.0,0.1,46.8,0.3,0.0,Liquor and cocktails,other,0.12,55.71,0.8,0.03,0.0,38.3,8.0,0.11,0.0
"Liqueur, Cream",296.0,0.15,33.48,2.74,0.0,Liquor and cocktails,other,0.2,45.24,8.33,0.05,0.0,33.48,2.0,1.51,8.0
"Liver, Beef",174.0,26.31,5.12,4.64,0.0,Liver and organ meats,other,60.48,11.77,24.0,10.0,0.15,0.0,384.0,2.51,378.0
"Liver, Beef Or Calves, And Onions",129.0,16.68,6.97,3.6,0.5,Meat mixed dishes,other,51.72,21.61,25.12,10.0,0.13,1.78,276.0,1.68,232.0
"Liver, Chicken",189.0,20.02,6.48,8.69,0.2,Liver and organ meats,other,42.37,13.71,41.38,10.0,0.11,0.02,453.0,2.56,392.0
"Liver, Paste Or Pate",201.0,13.45,6.55,13.1,0.0,Liver and organ meats,other,26.77,13.03,58.66,6.69,0.07,0.0,386.0,4.0,391.0
"Livers, Chicken, Chopped, With Eggs And Onion",226.0,12.89,2.87,17.69,0.4,Poultry mixed dishes,other,22.81,5.08,70.45,5.88,0.06,1.23,1047.0,5.35,315.0
Liverwurst,327.0,14.5,3.1,28.5,0.0,Cold cuts and cured meats,other,17.74,3.79,78.44,4.43,0.04,0.0,977.0,9.31,180.0
Long Island Iced Tea,107.0,0.01,8.66,0.15,0.0,Liquor and cocktails,other,0.04,32.37,1.26,0.01,0.0,8.43,16.0,0.0,0.0
"Luncheon Meat,",101.0,16.7,0.27,3.73,0.0,Cold cuts and cured meats,other,66.14,1.07,33.24,10.0,0.17,0.0,890.0,1.12,41.0
"Luncheon Meat, Loaf Type",225.0,11.23,8.46,15.95,1.5,Cold cuts and cured meats,other,19.96,15.04,63.8,5.66,0.05,8.46,1040.0,5.29,58.0
"Luncheon Slice, Meatless-Beef, Chicken, Salami Or Turkey",189.0,17.78,4.44,11.11,1.1,Soy and meat-alternative products,other,37.63,9.4,52.9,9.99,0.09,2.22,711.0,1.34,0.0
Mai Tai,149.0,0.18,16.48,0.07,0.1,Liquor and cocktails,other,0.48,44.24,0.42,0.19,0.0,12.82,4.0,0.0,0.0
"Mango, Canned",65.0,0.62,16.22,0.3,1.2,Mango and papaya,other,3.82,99.82,4.15,2.8,0.01,15.24,1.0,0.07,0.0
"Mango, Frozen",60.0,0.82,14.98,0.38,1.6,Mango and papaya,other,5.47,99.87,5.7,4.03,0.01,13.66,1.0,0.09,0.0
"Mango, Raw",60.0,0.82,14.98,0.38,1.6,Mango and papaya,other,5.47,99.87,5.7,4.03,0.01,13.66,1.0,0.09,0.0
Manhattan,222.0,0.03,1.82,0.0,0.0,Liquor and cocktails,other,0.05,3.28,0.0,0.01,0.0,1.03,2.0,0.0,0.0
"Margarine,",579.0,0.17,0.82,65.04,0.0,Margarine,other,0.12,0.57,100.0,0.03,0.0,0.0,694.0,12.86,1.0
"Margarine, Light",346.0,0.33,1.22,37.91,0.0,Margarine,other,0.38,1.41,98.61,0.1,0.0,0.0,586.0,8.65,0.0
"Margarine, Stick",717.0,0.16,0.7,80.71,0.0,Margarine,other,0.09,0.39,100.0,0.02,0.0,0.0,751.0,15.19,0.0
"Margarine, Tub",533.0,0.17,0.86,59.81,0.0,Margarine,other,0.13,0.65,100.0,0.03,0.0,0.0,674.0,12.09,1.0
Margarita,122.0,0.08,16.06,0.08,0.0,Liquor and cocktails,other,0.26,52.66,0.59,0.07,0.0,16.06,204.0,0.01,0.0
Marmalade,246.0,0.3,66.3,0.0,0.7,"Jams, syrups, toppings",other,0.49,100.0,0.0,0.41,0.0,60.0,56.0,0.0,0.0
Martini,201.0,0.07,0.15,0.0,0.0,Liquor and cocktails,other,0.14,0.3,0.0,0.03,0.0,0.15,2.0,0.0,0.0
"Martini, Flavored",187.0,0.09,6.36,0.03,0.1,Liquor and cocktails,other,0.19,13.6,0.14,0.1,0.0,4.86,1.0,0.0,0.0
"Mayonnaise, Fat-Free",64.0,0.2,15.8,0.0,2.0,Mayonnaise,other,1.25,98.75,0.0,3.44,0.0,6.8,750.0,0.0,0.0
"Mayonnaise, Light",238.0,0.37,9.23,22.22,0.0,Mayonnaise,other,0.62,15.51,84.03,0.16,0.0,3.56,827.0,3.45,16.0
"Mayonnaise, Reduced-Fat, With Olive Oil",361.0,0.37,0.0,40.0,0.0,Mayonnaise,other,0.41,0.0,99.72,0.1,0.0,0.0,800.0,5.37,33.0
"Mayonnaise, Regular",680.0,0.96,0.57,74.85,0.0,Mayonnaise,other,0.56,0.34,99.07,0.14,0.0,0.57,635.0,11.7,42.0
Mayonnaise-Type Salad Dressing,250.0,0.65,14.78,21.6,0.0,Mayonnaise,other,1.04,23.65,77.76,0.26,0.0,10.02,653.0,3.4,19.0
"Mayonnaise-Type Salad Dressing, Light",158.0,0.65,16.4,10.0,0.0,Mayonnaise,other,1.65,41.52,56.96,0.41,0.0,6.67,833.0,1.48,0.0
Mcdouble (Mcdonalds),282.0,16.24,17.97,16.18,0.9,Burgers,other,23.04,25.49,51.64,6.08,0.06,4.16,617.0,6.96,50.0
"Meat Loaf Dinner, , Frozen Meal",134.0,6.66,10.13,7.4,1.2,Meat mixed dishes,other,19.88,30.24,49.7,5.87,0.05,3.02,392.0,2.2,19.0
Meat Loaf Made With Beef,199.0,17.48,7.2,10.72,0.4,Meat mixed dishes,other,35.14,14.47,48.48,8.98,0.09,1.84,416.0,3.96,76.0
Meat Loaf Made With Beef And Pork,196.0,17.27,7.18,10.5,0.4,Meat mixed dishes,other,35.24,14.65,48.21,9.02,0.09,1.8,412.0,3.89,78.0
"Meat Loaf Made With Beef And Pork, With Tomato-Based Sauce",157.0,13.63,6.75,8.18,0.7,Meat mixed dishes,other,34.73,17.2,46.89,9.13,0.09,2.2,426.0,3.02,60.0
"Meat Loaf Made With Beef, Veal And Pork",196.0,17.27,7.18,10.5,0.4,Meat mixed dishes,other,35.24,14.65,48.21,9.02,0.09,1.8,412.0,3.89,78.0
"Meat Loaf Made With Beef, With Tomato-Based Sauce",159.0,13.78,6.77,8.35,0.7,Meat mixed dishes,other,34.67,17.03,47.26,9.11,0.09,2.23,429.0,3.07,59.0
Meat Loaf Made With Chicken Or Turkey,172.0,18.77,8.08,7.27,0.6,Poultry mixed dishes,other,43.65,18.79,38.04,10.0,0.11,2.12,446.0,1.91,84.0
"Meat Loaf Made With Chicken Or Turkey, With Tomato-Based Sauce",145.0,15.46,7.29,6.2,0.8,Poultry mixed dishes,other,42.65,20.11,38.48,10.0,0.11,2.41,449.0,1.7,67.0
Meat Loaf Made With Ham,179.0,20.65,6.16,7.52,0.3,Meat mixed dishes,other,46.15,13.77,37.81,10.0,0.12,1.67,879.0,2.26,94.0
Meat Loaf Made With Venison/Deer,166.0,19.02,6.31,6.73,0.4,Meat mixed dishes,other,45.83,15.2,36.49,10.0,0.11,1.58,378.0,3.04,86.0
"Meat Loaf With Potatoes, Vegetable, Frozen Meal",134.0,6.66,10.13,7.4,1.2,Meat mixed dishes,other,19.88,30.24,49.7,5.87,0.05,3.02,392.0,2.2,19.0
"Meat Loaf, As To Type Of Meat",202.0,17.49,7.2,11.04,0.4,Meat mixed dishes,other,34.63,14.26,49.19,8.86,0.09,1.81,416.0,4.14,78.0
"Meat Loaf, Puerto Rican Style",325.0,19.85,10.7,22.0,0.6,Meat mixed dishes,other,24.43,13.17,60.92,6.29,0.06,1.03,629.0,6.37,148.0
"Meat Spread Or Potted Meat,",235.0,7.66,11.94,17.34,0.2,Cold cuts and cured meats,other,13.04,20.32,66.41,3.34,0.03,0.0,1013.0,5.98,38.0
"Meat Substitute, Cereal- And Vegetable Protein-Based, Fried",359.0,12.8,61.25,7.23,8.9,Soy and meat-alternative products,other,14.26,68.25,18.13,6.04,0.04,0.5,282.0,1.02,0.0
"Meat With Gravy, As To Type Of Meat,",156.0,21.56,1.58,7.05,0.0,Meat mixed dishes,other,55.28,4.05,40.67,10.0,0.14,0.09,360.0,2.57,64.0
Meat With Tomato-Based Sauce,149.0,21.72,1.58,6.36,0.4,Meat mixed dishes,other,58.31,4.24,38.42,10.0,0.15,1.06,355.0,2.39,63.0
"Meat,",215.0,27.13,0.0,11.29,0.0,"Beef, excludes ground",other,50.47,0.0,47.26,10.0,0.13,0.0,363.0,4.34,82.0
"Meat, Ground,",262.0,25.62,0.0,17.04,0.0,Ground beef,other,39.11,0.0,58.53,9.78,0.1,0.0,382.0,6.5,88.0
Meatball Sandwich Or Sub,207.0,11.3,21.31,8.23,1.2,Meat and BBQ sandwiches,other,21.84,41.18,35.78,6.04,0.05,4.65,511.0,3.42,34.0
