Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Pasta, Whole Grain, With Cream Sauce And Meat, Restaurant",complex_carbs,209.0,5.76,15.03,14.48,1.9,0.68,564.0,2,5,7,5,6,0,breakfast,80-120g,10.001000000000001,3.67,0.03,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,11.02,28.77,62.35,4.65,23.0,14
"Thousand Island Dressing, Fat-Free",complex_carbs,132.0,0.55,29.27,1.45,3.3,16.83,788.0,6,1,6,6,4,3,"breakfast, pre_workout",80-120g,9.976,2.92,0.0,Salad dressings and vegetable oils,healthy_fats,1.67,88.7,9.89,0.2,5.0,13
"Pasta, Whole Grain, With Cream Sauce, And Added Vegetables, Restaurant",complex_carbs,187.0,3.79,15.57,12.79,2.0,1.0,521.0,2,5,7,5,6,0,"breakfast, pre_workout",80-120g,9.83,3.1,0.02,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,8.11,33.3,61.56,3.93,15.0,14
"Pasta, Whole Grain, With Tomato-Based Sauce And Added Vegetables, Home Recipe",complex_carbs,99.0,3.84,19.18,1.47,2.9,2.78,157.0,5,2,4,4,4,3,"breakfast, pre_workout",80-120g,9.742999999999999,6.81,0.04,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,15.52,77.49,13.36,0.2,1.0,11
"Sweet Potato, Canned, As To Fat",complex_carbs,124.0,1.58,20.05,4.35,1.7,4.75,211.0,5,2,5,6,4,3,"breakfast, pre_workout",80-120g,9.495000000000001,2.65,0.01,Other red and orange vegetables,vegetables,5.1,64.68,31.57,1.13,3.0,12
"Sweet Potato, Canned, Fat Added",complex_carbs,124.0,1.58,20.05,4.35,1.7,4.75,211.0,5,2,5,6,4,3,"breakfast, pre_workout",80-120g,9.495000000000001,2.65,0.01,Other red and orange vegetables,vegetables,5.1,64.68,31.57,1.13,3.0,12
"Casabe, Cassava Bread",complex_carbs,299.0,2.54,71.22,0.52,3.4,3.18,1185.0,3,4,6,6,6,0,breakfast,80-120g,9.397,1.99,0.01,"Biscuits, muffins, quick breads",quick_carbs,3.4,95.28,1.57,0.14,0.0,13
"Sweet Potato, Casserole Or Mashed",complex_carbs,99.0,1.89,17.22,2.56,2.4,8.05,132.0,5,2,4,4,4,3,"breakfast, pre_workout",80-120g,8.998999999999999,4.33,0.02,Other red and orange vegetables,vegetables,7.64,69.58,23.27,1.38,7.0,11
"Pasta, Whole Grain, With Cream Sauce, Restaurant",complex_carbs,200.0,3.81,15.18,14.32,1.9,0.76,578.0,2,5,5,5,6,0,"breakfast, pre_workout",80-120g,8.958,2.86,0.02,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,7.62,30.36,64.44,4.82,19.0,12
"Sweet Potato, Canned, No Added Fat",complex_carbs,91.0,1.64,21.04,0.2,1.8,4.98,207.0,5,2,2,6,4,3,"breakfast, pre_workout",80-120g,8.634,3.78,0.02,Other red and orange vegetables,vegetables,7.21,92.48,1.98,0.04,0.0,9
"Muffin, Whole Grain",complex_carbs,372.0,6.92,45.7,18.03,1.8,19.9,389.0,0,7,3,9,4,0,breakfast,80-120g,8.602,2.34,0.02,"Biscuits, muffins, quick breads",quick_carbs,7.44,49.14,43.62,2.98,59.0,10
"Sweet Potato, Squash, Pumpkin, Chrysanthemum, Or Bean Leaves, Cooked",complex_carbs,57.0,2.12,7.15,2.88,1.8,5.31,128.0,5,1,2,4,4,3,breakfast,80-120g,8.564,6.88,0.04,Other dark green vegetables,vegetables,14.88,50.18,45.47,0.73,2.0,8
Sweet Potato Paste,complex_carbs,305.0,0.49,75.14,0.34,0.9,71.75,1.0,2,5,1,8,6,0,breakfast,80-120g,7.538,0.46,0.0,"Jams, syrups, toppings",other,0.64,98.54,1.0,0.01,0.0,8
