Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Chicken Or Turkey, Rice, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Soy-Based Sauce",vegetables,133.0,9.64,7.79,7.15,0.9,1.41,305.0,4,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.276,7.92,0.07,Stir-fry and soy-based sauce mixtures,other,28.99,23.43,48.38,1.19,35.0,17
"Beef And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Gravy",vegetables,115.0,8.06,4.5,7.34,1.0,1.0,310.0,4,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.264000000000001,7.88,0.07,Meat mixed dishes,other,28.03,15.65,57.44,1.64,23.0,17
"Chicken Or Turkey And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Cheese Sauce",vegetables,119.0,9.83,3.88,7.24,0.9,0.8,353.0,4,5,7,0,0,7,"lunch, dinner, snack",150-200g,11.206,9.02,0.08,Poultry mixed dishes,other,33.04,13.04,54.76,3.49,37.0,16
Spinach And Cheese Casserole,vegetables,130.0,7.05,9.86,7.59,2.8,1.01,311.0,4,3,10,0,0,7,"lunch, dinner, snack",150-200g,11.174000000000001,7.58,0.05,Vegetable dishes,other,21.69,30.34,52.55,3.86,19.0,17
"Beef, Potatoes, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; Cheese Sauce",vegetables,127.0,8.14,11.82,5.43,1.4,0.96,304.0,4,5,8,0,0,7,"pre_workout, lunch, dinner, snack",150-200g,11.153,7.51,0.06,Meat mixed dishes,other,25.64,37.23,38.48,2.69,23.0,17
Porcupine Balls With Tomato-Based Sauce,vegetables,153.0,10.36,13.39,6.21,0.6,3.0,501.0,5,6,7,0,2,4,"pre_workout, lunch, dinner, snack",150-200g,11.148,7.16,0.07,Meat mixed dishes,other,27.08,35.01,36.53,2.36,31.0,18
"Beef And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Gravy",vegetables,122.0,8.11,6.47,7.34,0.9,0.91,312.0,4,5,8,0,0,7,"lunch, dinner, snack",150-200g,11.116999999999999,7.39,0.07,Meat mixed dishes,other,26.59,21.21,54.15,1.64,23.0,17
Beef And Broccoli,vegetables,160.0,10.43,5.09,10.63,1.3,1.23,440.0,4,6,7,1,2,4,"lunch, dinner, snack",150-200g,11.099,7.33,0.07,Stir-fry and soy-based sauce mixtures,other,26.08,12.72,59.79,1.88,25.0,17
"Beef, Potatoes, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; Cheese Sauce",vegetables,131.0,8.17,12.97,5.43,1.3,0.91,305.0,4,5,8,0,0,7,"pre_workout, lunch, dinner, snack",150-200g,11.069,7.23,0.06,Meat mixed dishes,other,24.95,39.6,37.31,2.69,23.0,17
"Chicken Or Turkey And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Cheese Sauce",vegetables,124.0,9.87,5.54,7.24,0.7,0.72,365.0,4,5,7,0,0,7,"lunch, dinner, snack",150-200g,11.056,8.52,0.08,Poultry mixed dishes,other,31.84,17.87,52.55,3.49,37.0,16
