Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Flaxseed Oil,healthy_fats,884.0,0.11,0.0,99.98,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.203,0.01,0.0,Salad dressings and vegetable oils,healthy_fats,0.05,0.0,100.0,8.98,0.0,8
Cottonseed Oil,healthy_fats,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,25.9,0.0,8
Coconut Oil,healthy_fats,895.0,0.0,0.84,99.1,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.38,99.65,82.5,0.0,8
Almond Oil,healthy_fats,884.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,8.2,0.0,8
Corn Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,13.4,0.0,8
Safflower Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,7.65,0.0,8
Olive Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,2.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,15.52,0.0,8
Peanut Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,16.2,0.0,8
"Shortening, As To Vegetable Or Animal",healthy_fats,884.0,0.0,0.0,99.97,0.0,0.0,4.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Margarine,other,0.0,0.0,100.0,24.98,0.0,8
Soybean Oil,healthy_fats,900.0,0.0,0.0,100.0,0.0,0.0,0.0,1,6,1,7,3,0,flexible,30-50g,6.2,0.0,0.0,Salad dressings and vegetable oils,healthy_fats,0.0,0.0,100.0,14.9,0.0,8
