Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Tzatziki Dip,weight_loss_friendly,91.0,5.22,4.1,6.0,0.2,2.5,307.0,4,3,5,0,0,7,snack,100g,8.688,5.96,0.06,"Dips, gravies, other sauces",other,22.95,18.02,59.34,1.89,10.0,12
"Yogurt, As To Type Of Milk, Plain",weight_loss_friendly,63.0,5.25,7.04,1.55,0.0,7.04,70.0,5,1,4,0,0,7,snack,100g,8.599,8.33,0.08,"Yogurt, regular",dairy_proteins,33.33,44.7,22.14,1.0,6.0,10
"Yogurt, Low-Fat Milk, Plain",weight_loss_friendly,63.0,5.25,7.04,1.55,0.0,7.04,70.0,5,1,4,0,0,7,snack,100g,8.599,8.33,0.08,"Yogurt, regular",dairy_proteins,33.33,44.7,22.14,1.0,6.0,10
Black Bean Salad,weight_loss_friendly,94.0,3.08,12.61,3.85,3.4,3.53,350.0,6,1,4,0,0,7,pre_workout,100g,8.567,6.89,0.03,"Bean, pea, legume dishes",other,13.11,53.66,36.86,0.57,0.0,11
"Cheese, Cottage Cheese, With Gelatin Dessert",weight_loss_friendly,83.0,6.82,9.03,2.27,0.0,7.66,223.0,5,1,4,0,0,7,snack,100g,8.566,8.22,0.08,Cottage/ricotta cheese,dairy_proteins,32.87,43.52,24.61,1.4,10.0,10
"Milk, Evaporated, Reduced-Fat (2%)",weight_loss_friendly,92.0,7.42,11.15,1.96,0.0,11.15,113.0,5,1,4,0,0,7,"pre_workout, snack",100g,8.520999999999999,8.07,0.08,"Milk, reduced fat",dairy_proteins,32.26,48.48,19.17,1.21,8.0,10
"Carrots, Cooked, From Restaurant",weight_loss_friendly,86.0,0.94,10.15,4.67,3.1,4.69,292.0,7,1,4,0,0,7,pre_workout,100g,8.31,4.7,0.01,Carrots,vegetables,4.37,47.21,48.87,1.16,3.0,12
Shrimp Gumbo,weight_loss_friendly,61.0,6.52,4.63,1.89,0.9,1.78,377.0,4,1,3,0,0,7,snack,100g,8.3,10.0,0.11,Seafood mixed dishes,lean_proteins,42.75,30.36,27.89,0.78,62.0,8
Spaghetti Sauce With Seafood And Added Vegetables,weight_loss_friendly,60.0,5.43,6.6,1.25,1.4,4.03,353.0,4,1,3,0,0,7,snack,100g,8.3,10.0,0.09,"Pasta sauces, tomato-based",quick_carbs,36.2,44.0,18.75,0.16,30.0,8
Spaghetti Sauce With Meat And Added Vegetables,weight_loss_friendly,86.0,6.03,6.05,4.13,1.4,4.03,333.0,4,1,4,0,0,7,snack,100g,8.292,8.64,0.07,"Pasta sauces, tomato-based",quick_carbs,28.05,28.14,43.22,1.33,18.0,9
