Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Soup, Chicken Noodle",balanced_foods,53.0,3.84,6.21,1.4,0.7,0.81,248.0,5,1,2,0,0,3,"lunch, dinner",100g,6.671000000000001,8.57,0.07,"Soups, broth-based",other,28.98,46.87,23.77,0.32,17.0,8
"Chewing Gum, Sugar Free",balanced_foods,268.0,0.0,94.8,0.4,2.4,0.0,7.0,2,5,6,2,2,0,"breakfast, lunch, dinner",100g,6.670000000000001,0.9,0.0,Candy not containing chocolate,energy_dense,0.0,100.0,1.34,0.06,0.0,13
"Carrots, Canned, Cooked, No Added Fat",balanced_foods,25.0,0.64,5.54,0.19,1.5,2.48,242.0,5,1,2,0,0,3,"lunch, dinner",100g,6.668000000000001,8.56,0.03,Carrots,vegetables,10.24,88.64,6.84,0.04,0.0,8
"Mango, Dried",balanced_foods,319.0,2.45,78.58,1.18,2.4,66.27,162.0,2,5,4,4,2,0,"lunch, dinner",100g,6.656,1.52,0.01,Dried fruits,fruits,3.07,98.53,3.33,0.29,0.0,11
"Yogurt, Nonfat Milk, Plain",balanced_foods,50.0,4.23,8.08,0.09,0.0,7.68,51.0,5,1,2,0,0,3,"lunch, dinner",100g,6.638,8.46,0.08,"Yogurt, regular",dairy_proteins,33.84,64.64,1.62,0.12,3.0,8
"Vienna Sausages Stewed With Potatoes, Puerto Rican Style",balanced_foods,219.0,5.08,13.06,16.36,1.7,1.31,466.0,2,4,6,1,2,0,"lunch, dinner",100g,6.630000000000001,3.1,0.02,Meat mixed dishes,other,9.28,23.85,67.23,3.82,28.0,12
"Coffee Creamer, Soy, Liquid",balanced_foods,136.0,1.0,11.38,9.97,0.0,11.38,67.0,5,3,5,1,0,3,"pre_workout, lunch, dinner",100g,6.622000000000001,0.74,0.01,Cream and cream substitutes,other,2.94,33.47,65.98,1.94,0.0,13
"Coffee Creamer,",balanced_foods,136.0,1.0,11.38,9.97,0.0,11.38,67.0,5,3,5,1,0,3,"pre_workout, lunch, dinner",100g,6.622000000000001,0.74,0.01,Cream and cream substitutes,other,2.94,33.47,65.98,1.94,0.0,13
"Coffee Creamer, Liquid",balanced_foods,136.0,1.0,11.38,9.97,0.0,11.38,67.0,5,3,5,1,0,3,"pre_workout, lunch, dinner",100g,6.622000000000001,0.74,0.01,Cream and cream substitutes,other,2.94,33.47,65.98,1.94,0.0,13
"Soup, Pepperpot",balanced_foods,91.0,3.06,6.79,5.75,0.9,1.46,251.0,5,3,3,0,0,3,"lunch, dinner",100g,6.605,4.35,0.03,"Soups, cream-based",other,13.45,29.85,56.87,2.88,23.0,11
"Soup, Pork Or Ham",balanced_foods,48.0,3.14,4.04,2.17,0.8,1.1,247.0,5,1,2,0,0,3,"lunch, dinner",100g,6.563000000000001,8.21,0.07,"Soups, broth-based",other,26.17,33.67,40.69,0.71,10.0,8
White Russian,balanced_foods,181.0,2.15,11.17,7.9,0.0,9.56,43.0,4,5,5,0,2,0,"pre_workout, lunch, dinner",100g,6.557,1.19,0.01,Liquor and cocktails,other,4.75,24.69,39.28,4.82,24.0,14
"Asparagus, Canned, Cooked With Oil",balanced_foods,45.0,2.08,2.39,3.54,1.6,1.03,279.0,5,1,2,0,0,3,"lunch, dinner",100g,6.554,8.18,0.05,Other vegetables and combinations,vegetables,18.49,21.24,70.8,0.53,0.0,8
"Hot Chocolate / Cocoa, Dry Mix, Reduced Sugar, Made With Lowfat (1%) Or Fat-Free (Skim) Milk",balanced_foods,62.0,4.41,10.39,0.32,0.6,7.71,109.0,5,1,2,0,0,3,"pre_workout, lunch, dinner",100g,6.524000000000001,8.08,0.07,"Flavored milk, nonfat",dairy_proteins,28.45,67.03,4.65,0.19,3.0,8
"Watercress, Cooked",balanced_foods,36.0,2.4,1.35,2.84,0.5,0.21,173.0,5,1,2,0,0,3,"lunch, dinner",100g,6.518000000000001,8.06,0.07,Other dark green vegetables,vegetables,26.67,15.0,71.0,0.74,2.0,8
Buttermilk,balanced_foods,43.0,3.46,4.81,1.08,0.0,5.36,92.0,5,1,2,0,0,3,"lunch, dinner",100g,6.515000000000001,8.05,0.08,"Milk, whole",dairy_proteins,32.19,44.74,22.6,0.55,5.0,8
"Soup, Minestrone",balanced_foods,40.0,1.71,7.3,0.5,1.5,1.04,241.0,5,1,2,0,0,3,"lunch, dinner",100g,6.506,8.02,0.04,"Soups, broth-based",other,17.1,73.0,11.25,0.07,0.0,8
"Carrots, Glazed, Cooked",balanced_foods,97.0,0.9,17.32,2.78,2.9,12.14,214.0,5,2,4,0,0,3,"breakfast, pre_workout, lunch, dinner",100g,6.476000000000001,3.92,0.01,Carrots,vegetables,3.71,71.42,25.79,1.39,7.0,11
"Soup, Rice",balanced_foods,51.0,3.54,6.78,1.15,0.5,0.76,247.0,5,1,2,0,0,3,"lunch, dinner",100g,6.476000000000001,7.92,0.07,"Soups, broth-based",other,27.76,53.18,20.29,0.27,12.0,8
"Ramen Bowl, Vegetarian With Egg",balanced_foods,112.0,4.85,14.11,3.99,1.0,0.51,322.0,4,1,5,0,0,3,"pre_workout, lunch, dinner",100g,6.465999999999999,5.22,0.04,Ramen and Asian broth-based soups,other,17.32,50.39,32.06,0.75,41.0,10
"Milk, Low-Fat (1%)",balanced_foods,43.0,3.38,5.18,0.95,0.0,4.96,39.0,5,1,2,0,0,3,"lunch, dinner",100g,6.458,7.86,0.08,"Milk, lowfat",dairy_proteins,31.44,48.19,19.88,0.57,5.0,8
"Milk, Lactose Free, Low-Fat (1%)",balanced_foods,43.0,3.38,5.18,0.95,0.0,4.96,39.0,5,1,2,0,0,3,"lunch, dinner",100g,6.458,7.86,0.08,"Milk, lowfat",dairy_proteins,31.44,48.19,19.88,0.57,5.0,8
