Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Olives,",processed_foods,116.0,0.84,6.04,10.9,1.6,0.0,735.0,3,2,5,1,0,3,flexible,100g,5.83,2.1,0.01,"Olives, pickles, pickled vegetables",healthy_fats,2.9,20.83,84.57,2.28,0.0,10
"Olives, Black",processed_foods,116.0,0.84,6.04,10.9,1.6,0.0,735.0,3,2,5,1,0,3,flexible,100g,5.83,2.1,0.01,"Olives, pickles, pickled vegetables",healthy_fats,2.9,20.83,84.57,2.28,0.0,10
"Sauce,",processed_foods,109.0,1.59,12.72,5.67,0.2,4.56,968.0,4,2,5,0,0,3,pre_workout,100g,5.792,1.64,0.01,"Dips, gravies, other sauces",other,5.83,46.68,46.82,2.61,13.0,11
"Salsa,",processed_foods,34.0,1.44,6.74,0.19,1.8,3.81,656.0,4,0,1,0,0,3,flexible,100g,5.759,9.53,0.04,Tomato-based condiments,vegetables,16.94,79.29,5.03,0.02,0.0,5
"Salsa, Red",processed_foods,34.0,1.44,6.74,0.19,1.8,3.81,656.0,4,0,1,0,0,3,flexible,100g,5.759,9.53,0.04,Tomato-based condiments,vegetables,16.94,79.29,5.03,0.02,0.0,5
"Salsa, Red, Homemade",processed_foods,34.0,1.44,6.74,0.19,1.8,3.81,656.0,4,0,1,0,0,3,flexible,100g,5.759,9.53,0.04,Tomato-based condiments,vegetables,16.94,79.29,5.03,0.02,0.0,5
Crab Salad Made With Imitation Crab,processed_foods,197.0,4.07,8.66,16.28,0.6,3.65,530.0,2,4,4,1,2,0,flexible,100g,5.611000000000001,2.37,0.02,Seafood mixed dishes,lean_proteins,8.26,17.58,74.38,2.62,19.0,10
"Mushrooms, Pickled",processed_foods,46.0,2.4,8.29,0.3,1.4,6.51,949.0,4,0,1,0,0,3,flexible,100g,5.378,8.26,0.05,"Olives, pickles, pickled vegetables",healthy_fats,20.87,72.09,5.87,0.04,0.0,5
"Cauliflower, Pickled",processed_foods,41.0,1.59,8.98,0.25,1.7,6.45,969.0,4,0,1,0,0,3,flexible,100g,5.305999999999999,8.02,0.04,"Olives, pickles, pickled vegetables",healthy_fats,15.51,87.61,5.49,0.11,0.0,5
"Salsa Verde Or Salsa, Green",processed_foods,38.0,1.13,6.36,0.89,1.9,3.5,906.0,4,0,1,0,0,3,flexible,100g,5.291,7.97,0.03,"Dips, gravies, other sauces",other,11.89,66.95,21.08,0.0,0.0,5
"Enchilada Sauce, Green",processed_foods,38.0,1.13,6.36,0.89,1.9,3.5,906.0,4,0,1,0,0,3,flexible,100g,5.291,7.97,0.03,"Dips, gravies, other sauces",other,11.89,66.95,21.08,0.0,0.0,5
Seafood Dip,processed_foods,337.0,6.18,4.2,32.8,0.2,1.95,715.0,0,5,3,3,2,0,flexible,100g,5.267,1.89,0.02,"Dips, gravies, other sauces",other,7.34,4.99,87.6,8.47,71.0,8
"Gravy,",processed_foods,53.0,3.75,4.81,2.36,0.4,0.21,633.0,4,0,1,0,0,3,flexible,100g,5.2490000000000006,7.83,0.07,"Dips, gravies, other sauces",other,28.3,36.3,40.08,1.15,3.0,5
"Gravy, Beef",processed_foods,53.0,3.75,4.81,2.36,0.4,0.21,633.0,4,0,1,0,0,3,flexible,100g,5.2490000000000006,7.83,0.07,"Dips, gravies, other sauces",other,28.3,36.3,40.08,1.15,3.0,5
"Gravy, Beef, Fat-Free",processed_foods,53.0,3.75,4.81,2.36,0.4,0.21,633.0,4,0,1,0,0,3,flexible,100g,5.2490000000000006,7.83,0.07,"Dips, gravies, other sauces",other,28.3,36.3,40.08,1.15,3.0,5
"Ranch Dressing, Light",processed_foods,160.0,1.5,7.0,14.0,0.0,5.65,833.0,2,4,4,1,2,0,flexible,100g,5.182,0.94,0.01,Salad dressings and vegetable oils,healthy_fats,3.75,17.5,78.75,2.12,0.0,10
"Salad Dressing, Light,",processed_foods,160.0,1.5,7.0,14.0,0.0,5.65,833.0,2,4,4,1,2,0,flexible,100g,5.182,0.94,0.01,Salad dressings and vegetable oils,healthy_fats,3.75,17.5,78.75,2.12,0.0,10
"Cream Sauce, For Use With Vegetables",processed_foods,175.0,0.83,10.6,14.17,0.1,1.16,936.0,2,4,4,1,2,0,pre_workout,100g,5.058999999999999,0.53,0.0,Not included in a food category,other,1.9,24.23,72.87,8.13,41.0,10
"Creamy Italian Dressing, Light",processed_foods,111.0,0.56,9.54,7.78,0.0,8.63,882.0,4,2,4,0,0,3,flexible,100g,5.050000000000001,0.5,0.01,Salad dressings and vegetable oils,healthy_fats,2.02,34.38,63.08,1.02,0.0,10
"Beef And Vegetables, Hawaiian Style",processed_foods,93.0,4.79,14.24,2.24,1.8,5.6,679.0,4,0,1,0,0,3,pre_workout,100g,5.026999999999999,7.09,0.05,Meat mixed dishes,other,20.6,61.25,21.68,0.71,10.0,5
"Sesame Dressing, Light",processed_foods,102.0,0.39,9.99,6.68,0.0,9.16,891.0,4,2,4,0,0,3,flexible,100g,5.013999999999999,0.38,0.0,Salad dressings and vegetable oils,healthy_fats,1.53,39.18,58.94,0.83,0.0,10
"Italian Dressing, Light",processed_foods,102.0,0.39,9.99,6.68,0.0,9.16,891.0,4,2,4,0,0,3,flexible,100g,5.013999999999999,0.38,0.0,Salad dressings and vegetable oils,healthy_fats,1.53,39.18,58.94,0.83,0.0,10
"Hominy, Cooked",processed_foods,88.0,1.45,13.8,2.91,2.4,1.47,501.0,4,0,3,0,0,3,pre_workout,100g,5.013999999999999,4.38,0.02,Grits and other cooked cereals,quick_carbs,6.59,62.73,29.76,1.01,4.0,7
