Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Crackers, Wheat, Plain (Wheat Thins)",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
"Crackers, Wheat, Flavored (Wheat Thins)",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
"Crackers, Wheat",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
"Crackers, Woven Wheat, Flavored (Triscuit)",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
"Crackers, Woven Wheat",energy_dense,441.0,8.94,70.14,15.26,8.6,8.34,750.0,2,8,5,9,0,2,"lunch, dinner",100g,10.494,3.98,0.02,"Crackers, excludes saltines",quick_carbs,8.11,63.62,31.14,2.64,0.0,15
"Beef, Bacon, Cooked",energy_dense,449.0,31.3,1.4,34.4,0.0,0.0,1500.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.491,6.97,0.07,Bacon,other,27.88,1.25,68.95,14.35,119.0,12
"Popcorn, Microwave, Kettle",energy_dense,504.0,9.35,58.01,27.5,10.5,2.2,601.0,2,8,5,9,0,2,"lunch, dinner",100g,10.482,3.94,0.02,Popcorn,other,7.42,46.04,49.11,4.6,0.0,15
"Pork Bacon, As To Fresh, Smoked Or Cured, Reduced Sodium, Cooked",energy_dense,541.0,37.04,1.43,41.78,0.0,0.0,1030.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.455,6.85,0.07,Bacon,other,27.39,1.06,69.5,13.74,110.0,12
"Pork Bacon, Smoked Or Cured, Reduced Sodium, Cooked",energy_dense,541.0,37.04,1.43,41.78,0.0,0.0,1030.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.455,6.85,0.07,Bacon,other,27.39,1.06,69.5,13.74,110.0,12
"Beef, Bacon, Reduced Sodium, Cooked",energy_dense,541.0,37.04,1.43,41.78,0.0,0.0,1030.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.455,6.85,0.07,Bacon,other,27.39,1.06,69.5,13.74,110.0,12
Queso Cotija,energy_dense,351.0,23.84,2.72,27.24,0.0,0.0,1625.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.437000000000001,6.79,0.07,Cheese,dairy_proteins,27.17,3.1,69.85,15.9,89.0,12
"Popcorn, Microwave, Butter Flavored",energy_dense,518.0,9.13,54.99,30.57,10.2,0.61,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.419,3.73,0.02,Popcorn,other,7.05,42.46,53.11,14.3,0.0,15
"Popcorn,",energy_dense,518.0,9.13,54.99,30.57,10.2,0.61,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.419,3.73,0.02,Popcorn,other,7.05,42.46,53.11,14.3,0.0,15
"Popcorn, Microwave,",energy_dense,518.0,9.13,54.99,30.57,10.2,0.61,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.419,3.73,0.02,Popcorn,other,7.05,42.46,53.11,14.3,0.0,15
"Popcorn, Microwave, Plain",energy_dense,518.0,9.13,54.99,30.57,10.2,0.61,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.419,3.73,0.02,Popcorn,other,7.05,42.46,53.11,14.3,0.0,15
"Pork, Belly",energy_dense,404.0,26.58,0.0,32.24,0.0,0.0,448.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.374,6.58,0.07,Pork,other,26.32,0.0,71.82,11.68,104.0,12
"Chips, Rice",energy_dense,384.0,8.2,81.5,2.8,4.2,0.6,326.0,3,7,6,8,0,2,"lunch, dinner",100g,10.369,3.23,0.02,"Tortilla, corn, other chips",processed_foods,8.54,84.9,6.56,0.64,0.0,16
"Popcorn, Ready-To-Eat,",energy_dense,530.0,8.88,53.38,32.53,10.0,0.6,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.367999999999999,3.56,0.02,Popcorn,other,6.7,40.29,55.24,4.38,0.0,15
"Popcorn, Ready-To-Eat, Butter Flavored",energy_dense,530.0,8.88,53.38,32.53,10.0,0.6,764.0,2,8,5,9,0,2,"lunch, dinner",100g,10.367999999999999,3.56,0.02,Popcorn,other,6.7,40.29,55.24,4.38,0.0,15
"Cookie, Peanut Butter, Sugar Free",energy_dense,523.0,10.34,50.52,31.03,3.4,0.0,448.0,4,8,5,9,0,0,"lunch, dinner",100g,10.289,2.63,0.02,Cookies and brownies,energy_dense,7.91,38.64,53.4,8.62,17.0,17
"Cookie, Sugar Or Plain, Sugar Free",energy_dense,523.0,10.34,50.52,31.03,3.4,0.0,448.0,4,8,5,9,0,0,"lunch, dinner",100g,10.289,2.63,0.02,Cookies and brownies,energy_dense,7.91,38.64,53.4,8.62,17.0,17
"Snack Bar, Oatmeal",energy_dense,389.0,6.67,75.47,6.67,4.6,31.54,367.0,3,7,6,8,0,2,flexible,100g,10.27,2.9,0.02,Cereal bars,quick_carbs,6.86,77.6,15.43,1.3,36.0,16
"Crackers, Water",energy_dense,384.0,7.14,72.81,7.14,7.1,0.0,571.0,3,6,6,8,0,2,flexible,100g,10.113,3.71,0.02,"Crackers, excludes saltines",quick_carbs,7.44,75.84,16.73,0.0,0.0,15
"Cereal, Cinnamon Toast",energy_dense,414.0,5.88,75.23,9.92,5.1,29.78,539.0,3,6,6,9,0,2,flexible,100g,10.094999999999999,2.65,0.01,"Ready-to-eat cereal, higher sugar (>21.2g/100g)",quick_carbs,5.68,72.69,21.57,0.74,0.0,15
"Salami, Made From Any Type Of Meat, Reduced Sodium",energy_dense,378.0,21.07,0.72,31.65,0.0,0.26,1317.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.071000000000002,5.57,0.06,Cold cuts and cured meats,other,22.3,0.76,75.36,11.42,108.0,12
"Salami,",energy_dense,378.0,21.07,0.72,31.65,0.0,0.26,1756.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.071000000000002,5.57,0.06,Cold cuts and cured meats,other,22.3,0.76,75.36,11.42,108.0,12
"Pepperoni, Reduced-Fat",energy_dense,378.0,21.07,0.72,31.65,0.0,0.26,1756.0,2,7,3,7,3,2,"post_workout, lunch, dinner",100g,10.071000000000002,5.57,0.06,Cold cuts and cured meats,other,22.3,0.76,75.36,11.42,108.0,12
Falafel,energy_dense,514.0,8.28,28.96,41.19,4.8,4.52,499.0,2,8,5,9,0,2,"lunch, dinner",100g,10.062000000000001,2.54,0.02,"Bean, pea, legume dishes",other,6.44,22.54,72.12,5.43,0.0,15
"Crackers, Butter, Reduced-Fat",energy_dense,444.0,9.34,71.52,13.37,3.4,15.01,776.0,2,8,6,9,0,0,"lunch, dinner",100g,9.961,2.87,0.02,"Crackers, excludes saltines",quick_carbs,8.41,64.43,27.1,2.11,0.0,16
"Crackers, Wheat, Reduced-Fat",energy_dense,444.0,9.34,71.52,13.37,3.4,15.01,776.0,2,8,6,9,0,0,"lunch, dinner",100g,9.961,2.87,0.02,"Crackers, excludes saltines",quick_carbs,8.41,64.43,27.1,2.11,0.0,16
"Crackers, Saltine, Multigrain",energy_dense,398.0,7.14,68.25,10.71,6.7,0.0,1214.0,2,6,6,9,0,2,flexible,100g,9.943999999999999,3.48,0.02,Saltine crackers,quick_carbs,7.18,68.59,24.22,0.0,0.0,14
