Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Tuna Salad Sandwich Wrap,lean_proteins,244.0,10.59,16.99,14.82,1.3,2.64,564.0,4,7,7,1,6,4,"breakfast, post_workout, lunch, dinner",100-150g,11.960999999999999,4.87,0.04,Seafood sandwiches,lean_proteins,17.36,27.85,54.66,4.08,25.0,18
"Beef, Tofu, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Based Sauce",lean_proteins,115.0,7.3,4.75,7.68,1.2,1.6,235.0,5,3,8,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.917000000000002,7.39,0.06,Stir-fry and soy-based sauce mixtures,other,25.39,16.52,60.1,1.37,13.0,16
"Sushi, Topped With Tuna",lean_proteins,100.0,9.66,13.39,0.29,0.6,0.8,306.0,4,3,7,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,11.900000000000002,10.0,0.1,"Egg rolls, dumplings, sushi",other,38.64,53.56,2.61,0.08,14.0,14
"Egg White Omelet, Scrambled, Or Fried, Made With Cooking Spray",lean_proteins,59.0,10.56,2.53,0.78,0.0,0.7,279.0,7,3,4,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.900000000000002,10.0,0.18,Eggs and omelets,other,71.59,17.15,11.9,0.05,0.0,14
"Egg White Omelet, Scrambled, Or Fried, No Added Fat",lean_proteins,52.0,10.67,2.35,0.0,0.0,0.71,281.0,7,3,4,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.900000000000002,10.0,0.21,Eggs and omelets,other,82.08,18.08,0.0,0.0,0.0,14
Salmon Cake Sandwich,lean_proteins,279.0,13.86,19.37,15.93,1.0,2.22,419.0,2,8,6,1,6,6,"breakfast, post_workout, lunch, dinner",100-150g,11.899000000000001,5.33,0.05,Seafood sandwiches,lean_proteins,19.87,27.77,51.39,2.97,56.0,16
"Beef, Tofu, And Vegetables Excluding Carrots, Broccoli, And Dark-Green Leafy; No Potatoes, Soy-Based Sauce",lean_proteins,117.0,7.52,4.45,7.96,1.0,1.66,230.0,5,3,8,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.884,7.28,0.06,Stir-fry and soy-based sauce mixtures,other,25.71,15.21,61.23,1.42,14.0,16
"Stuffed Shells, With Fish And/Or Shellfish, With Tomato Sauce",lean_proteins,116.0,8.85,16.11,1.94,1.1,2.05,330.0,4,4,7,0,4,7,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,11.873999999999999,8.58,0.08,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,30.52,55.55,15.05,0.58,75.0,15
"Pork, Tofu, And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Soy-Base Sauce",lean_proteins,116.0,7.0,4.75,7.77,1.2,1.6,238.0,5,3,8,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.821000000000002,7.07,0.06,Stir-fry and soy-based sauce mixtures,other,24.14,16.38,60.28,1.38,12.0,16
Shellfish And Noodles With Tomato-Based Sauce,lean_proteins,135.0,6.58,15.74,5.04,1.1,1.36,239.0,5,4,8,0,4,7,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,11.807000000000002,5.69,0.05,Seafood mixed dishes,lean_proteins,19.5,46.64,33.6,0.78,36.0,17
Tuna Salad With Egg,lean_proteins,190.0,10.28,2.74,15.4,0.4,1.99,393.0,4,7,6,1,6,4,"post_workout, lunch, dinner, snack",100-150g,11.786000000000001,5.62,0.05,Seafood mixed dishes,lean_proteins,21.64,5.77,72.95,2.58,56.0,17
Macaroni Or Pasta Salad With Tuna And Egg,lean_proteins,197.0,7.14,19.36,9.96,1.1,1.53,200.0,4,6,8,1,6,4,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,11.754000000000001,4.18,0.04,"Pasta mixed dishes, excludes macaroni and cheese",quick_carbs,14.5,39.31,45.5,1.71,39.0,18
"Fish, Flounder, Fried",lean_proteins,217.0,11.35,11.72,13.64,0.5,0.2,405.0,4,6,7,1,6,4,"post_workout, lunch, dinner",100-150g,11.738,5.46,0.05,Fish,lean_proteins,20.92,21.6,56.57,2.0,40.0,17
Macaroni Or Noodles With Cheese And Tuna,lean_proteins,164.0,7.59,18.23,6.79,0.8,2.83,176.0,4,6,8,0,6,4,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,11.736,5.12,0.05,Macaroni and cheese,dairy_proteins,18.51,44.46,37.26,2.68,19.0,18
"Fish, Stick",lean_proteins,277.0,11.01,21.66,16.23,1.5,1.65,402.0,2,8,6,3,6,4,"breakfast, post_workout, lunch, dinner",100-150g,11.656,4.52,0.04,Fish,lean_proteins,15.9,31.28,52.73,3.73,28.0,16
Egg White Sandwich,lean_proteins,166.0,9.41,24.1,3.62,1.8,2.16,357.0,3,6,6,2,6,4,"breakfast, pre_workout, post_workout, lunch, dinner, snack",100-150g,11.625,6.75,0.06,Egg/breakfast sandwiches,other,22.67,58.07,19.63,1.1,2.0,15
"Sushi, Topped With Salmon",lean_proteins,107.0,8.92,13.39,1.74,0.6,0.8,317.0,4,3,7,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,11.57,8.9,0.08,"Egg rolls, dumplings, sushi",other,33.35,50.06,14.64,0.3,18.0,14
"Fish, Catfish,",lean_proteins,255.0,13.49,11.72,16.68,0.5,0.2,418.0,2,7,6,1,6,6,"post_workout, lunch, dinner",100-150g,11.547,5.49,0.05,Fish,lean_proteins,21.16,18.38,58.87,2.66,48.0,15
"Fish, Catfish, Fried",lean_proteins,255.0,13.49,11.72,16.68,0.5,0.2,418.0,2,7,6,1,6,6,"post_workout, lunch, dinner",100-150g,11.547,5.49,0.05,Fish,lean_proteins,21.16,18.38,58.87,2.66,48.0,15
"Fish And Vegetables Including Carrots, Broccoli, And/Or Dark-Green Leafy; No Potatoes, Tomato-Based Sauce",lean_proteins,106.0,6.28,4.39,7.26,1.6,2.46,302.0,4,3,8,0,4,7,"post_workout, lunch, dinner, snack",100-150g,11.529,7.43,0.06,Seafood mixed dishes,lean_proteins,23.7,16.57,61.64,0.99,12.0,15
"Fish, Pickled",lean_proteins,262.0,14.19,9.64,18.0,0.0,7.71,870.0,2,7,6,1,6,6,"post_workout, lunch, dinner",100-150g,11.526,5.42,0.05,Fish,lean_proteins,21.66,14.72,61.83,2.38,13.0,15
Tuna Noodle Casserole With Vegetables And Mushroom Sauce,lean_proteins,124.0,8.11,12.96,4.46,1.0,1.49,280.0,5,3,7,0,4,7,"pre_workout, post_workout, lunch, dinner, snack",100-150g,11.504999999999999,7.35,0.07,Seafood mixed dishes,lean_proteins,26.16,41.81,32.37,1.63,24.0,15
