Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
Beef With Gravy,complete_proteins,156.0,21.56,1.58,7.05,0.0,0.09,360.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.14,Meat mixed dishes,other,55.28,4.05,40.67,2.57,64.0,19
Ham Or Pork With Tomato-Based Sauce,complete_proteins,153.0,20.3,1.59,6.8,0.4,1.06,352.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.13,Meat mixed dishes,other,53.07,4.16,40.0,2.46,56.0,19
Beef With Mushroom Sauce,complete_proteins,163.0,21.97,1.83,7.54,0.1,0.56,355.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.13,Meat mixed dishes,other,53.91,4.49,41.63,2.7,64.0,19
"Chicken Drumstick, Fried, Coated, Skin / Coating Not Eaten, From Raw",complete_proteins,169.0,23.61,0.0,7.54,0.0,0.0,356.0,5,7,7,3,9,5,"post_workout, lunch, dinner, snack",100-150g,15.700000000000001,10.0,0.14,"Chicken, whole pieces",lean_proteins,55.88,0.0,40.15,1.73,127.0,19
"Beef, Steak,",complete_proteins,229.0,27.0,0.0,12.88,0.0,0.0,369.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.12,"Beef, excludes ground",other,47.16,0.0,50.62,5.29,83.0,18
"Beef, Steak, Chuck",complete_proteins,225.0,25.97,0.21,13.43,0.0,0.0,380.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.12,"Beef, excludes ground",other,46.17,0.37,53.72,5.65,92.0,18
"Ham, Ground",complete_proteins,167.0,20.94,0.49,8.43,0.0,0.0,1068.0,5,6,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.13,Cold cuts and cured meats,other,50.16,1.17,45.43,2.81,41.0,18
"Turkey, Light Or Dark Meat, Smoked, Skin Eaten",complete_proteins,208.0,28.1,0.0,9.7,0.0,0.0,996.0,5,6,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.14,"Turkey, duck, other poultry",lean_proteins,54.04,0.0,41.97,2.83,82.0,18
"Beef, Steak, Ribeye, Lean Only Eaten",complete_proteins,230.0,26.47,0.0,13.83,0.0,0.0,364.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.12,"Beef, excludes ground",other,46.03,0.0,54.12,5.8,79.0,18
"Chicken Thigh, Sauteed, Skin Not Eaten",complete_proteins,192.0,24.07,0.0,9.91,0.0,0.0,410.0,5,6,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.13,"Chicken, whole pieces",lean_proteins,50.15,0.0,46.45,2.51,129.0,18
Veal Cordon Bleu,complete_proteins,219.0,23.66,9.34,9.69,0.6,0.63,443.0,5,6,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.11,Meat mixed dishes,other,43.21,17.06,39.82,3.85,80.0,18
"Chicken Drumstick, Rotisserie, Skin Eaten",complete_proteins,206.0,25.65,0.12,11.46,0.0,0.12,392.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.12,"Chicken, whole pieces",lean_proteins,49.81,0.23,50.07,2.86,149.0,18
"Chicken Leg, Drumstick And Thigh, Stewed, Skin Eaten",complete_proteins,211.0,22.45,0.0,13.44,0.0,0.0,396.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.11,"Chicken, whole pieces",lean_proteins,42.56,0.0,57.33,3.7,135.0,18
"Chicken Leg, Drumstick And Thigh, Sauteed, Skin Not Eaten",complete_proteins,183.0,23.87,0.0,8.96,0.0,0.0,419.0,5,6,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.13,"Chicken, whole pieces",lean_proteins,52.17,0.0,44.07,2.2,128.0,18
Steak Teriyaki,complete_proteins,198.0,28.86,1.94,8.25,0.0,1.76,517.0,5,6,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.15,Stir-fry and soy-based sauce mixtures,other,58.3,3.92,37.5,3.13,82.0,18
"Chicken, As To Part, Sauteed, Skin Eaten",complete_proteins,217.0,24.19,0.0,12.57,0.0,0.0,372.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.11,"Chicken, whole pieces",lean_proteins,44.59,0.0,52.13,3.12,112.0,18
"Ham, Prosciutto",complete_proteins,195.0,27.8,0.3,8.32,0.0,0.0,2695.0,5,6,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.14,Cold cuts and cured meats,other,57.03,0.62,38.4,2.78,70.0,18
"Beef, Steak, Flank",complete_proteins,243.0,29.13,0.0,14.09,0.0,0.0,370.0,4,7,7,4,9,5,"post_workout, lunch, dinner",100-150g,15.599999999999998,10.0,0.12,"Beef, excludes ground",other,47.95,0.0,52.19,5.02,91.0,18
"Chicken, As To Part, Stewed, Skin Eaten",complete_proteins,196.0,23.58,0.0,10.86,0.0,0.0,356.0,4,7,7,4,9,5,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.12,"Chicken, whole pieces",lean_proteins,48.12,0.0,49.87,2.92,113.0,18
Beef With Tomato-Based Sauce,complete_proteins,149.0,21.72,1.58,6.36,0.4,1.06,363.0,6,5,7,3,7,8,"post_workout, lunch, dinner, snack",100-150g,15.599999999999998,10.0,0.15,Meat mixed dishes,other,58.31,4.24,38.42,2.39,63.0,18
