Food_Item,Enhanced_Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Sugars_g,Sodium_mg,Weight_Loss_Score,Weight_Gain_Score,Maintenance_Score,Ectomorph_Score,Mesomorph_Score,Endomorph_Score,Meal_Timing,Portion_Recommendation,Overall_Quality,Nutrient_Density_Score,Protein_Efficiency,Original_Category,Somatotype_Category,Protein_Calories_Pct,Carb_Calories_Pct,Fat_Calories_Pct,Saturated_Fat_g,Cholesterol_mg,Total_Score
"Orange Juice, 100%, With Calcium Added, Canned, Bottled Or In A Carton",fruits,47.0,0.77,10.17,0.34,0.3,8.18,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.684,2.28,0.02,Citrus juice,fruits,6.55,86.55,6.51,0.01,0.0,8
"Fruit Juice Blend, Citrus, 100% Juice",fruits,47.0,0.77,10.18,0.34,0.3,8.18,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.684,2.28,0.02,Other fruit juice,fruits,6.55,86.64,6.51,0.01,0.0,8
"Pineapple, Frozen",fruits,60.0,0.46,14.09,0.21,0.9,11.42,0.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.681,2.27,0.01,Pineapple,fruits,3.07,93.93,3.15,0.01,0.0,8
"Pineapple, Raw",fruits,60.0,0.46,14.09,0.21,0.9,11.42,0.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.681,2.27,0.01,Pineapple,fruits,3.07,93.93,3.15,0.01,0.0,8
"Fruit Smoothie, Bottled",fruits,50.0,0.48,11.66,0.27,0.6,10.05,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.648,2.16,0.01,Smoothies and grain drinks,beverages,3.84,93.28,4.86,0.06,0.0,8
"Grapefruit Juice, 100%, With Calcium Added",fruits,39.0,0.51,7.74,0.68,0.3,7.96,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.6240000000000006,2.08,0.01,Citrus juice,fruits,5.23,79.38,15.69,0.17,0.0,8
"Fruit Juice Drink, Citrus, Carbonated",fruits,32.0,0.46,7.16,0.24,0.2,5.99,7.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.618,2.06,0.01,Fruit drinks,fruits,5.75,89.5,6.75,0.04,0.0,8
"Pineapple, Canned,",fruits,55.0,0.42,13.91,0.12,0.7,13.07,2.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.612,2.04,0.01,Pineapple,fruits,3.05,100.0,1.96,0.01,0.0,8
"Grapefruit Juice, 100%, As To Form",fruits,40.0,0.56,8.35,0.48,0.2,7.42,1.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.57,1.9,0.01,Citrus juice,fruits,5.6,83.5,10.8,0.08,1.0,8
"Grapefruit Juice, 100%, Canned, Bottled Or In A Carton",fruits,40.0,0.56,8.35,0.48,0.2,7.42,1.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.57,1.9,0.01,Citrus juice,fruits,5.6,83.5,10.8,0.08,1.0,8
"Grapefruit Juice, 100%, Freshly Squeezed",fruits,39.0,0.5,9.2,0.1,0.1,9.1,1.0,5,1,2,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,5.462,1.54,0.01,Citrus juice,fruits,5.13,94.36,2.31,0.01,0.0,8
"Passion Fruit Juice, 100%",fruits,51.0,0.39,13.6,0.05,0.2,13.4,6.0,5,1,1,0,0,6,"breakfast, pre_workout, snack",1 medium or 100g,4.948,1.16,0.01,Other fruit juice,fruits,3.06,100.0,0.88,0.0,0.0,7
